title,price,rating,brand,model_name,screen_size,hard_disk_size,cpu_model,ram_memory_installed_size,operating_system,special_feature,graphics_card_description,graphics_coprocessor,series,card_description,color,cpu_speed,hard_disk_description,resolution
"Lenovo 15.6"" Laptop, IdeaPad 1, 20GB RAM, 1TB PCIe SSD, Wi-Fi 6 and Bluetooth 5.1, HDMI, SD Card Reader, 15.6"" HD Anti-Glare Display, AMD Athlon Dual-core Processor, Windows 11 Home in S Mode",$429.00,4.3 out of 5 stars,Lenovo,IdeaPad,15.6 Inches,1 TB,Athlon,20 GB,Windows 11,Anti-glare,Integrated,AMD Radeon Graphics,,,,,,
"HP 2022 Newest Pavilion 15.6"" HD Laptop, Intel Quad-core Pentium Processor, 16GB RAM, 1TB SSD, 11 Hr Battry Life, Intel UHD Graphics, HD Webcam, Bluetooth, HDMI, USB Type-C, Scarlet Red, Win 11",$469.00,4.3 out of 5 stars,HP,,15.6 Inches,1 TB,Pentium N5000,16 GB,Windows 11,Anti Glare Coating,,Intel UHD Graphics,Pavilion,Integrated,,,,
"SGIN Laptop 15.6 Inch, 4GB DDR4 128GB SSD Windows 11 Laptops with Intel Celeron Quad Core J4105(up to 2.5 GHz), Intel UHD Graphics 600, Mini HDMI, WiFi, Webcam, USB3.0, Bluetooth 4.2",$259.98,4.4 out of 5 stars,SGIN,,15.6 Inches,128 GB,Celeron,4 GB,Windows 11,,,Integrated,,Integrated,Gray,2.5 GHz,,
"HP 2021 Stream 14"" HD SVA Laptop Computer, Intel Celeron N4000 Processor, 4GB RAM, 64GB eMMC Flash Memory, Webcam, 1-Year Office, Intel UHD Graphics 600, Win 10S, Rose Pink, 32GB SnowBell USB Card",$259.99,4.2 out of 5 stars,HP,,14 Inches,64 GB,Celeron N,4 GB,Windows 10 S,Anti-glare,,,HP,Integrated,Pink,,,
"SGIN Laptop 12GB RAM 512GB SSD, 15.6 Inch Windows 11 Laptops with Intel Celeron N5095 Quad-Core Processor(up to 2.9 GHz), Full HD 1080P Screen, Mini HDMI, 2.4/5.0G WiFi, Webcam, Bluetooth 4.2, Grey",$359.99,4.3 out of 5 stars,SGIN,,15.6 Inches,512 GB,Celeron,12 GB,,,,Integrated,,Integrated,,2.9 GHz,SSD,1080p
"Lenovo 15.6"" Laptop, IdeaPad 1, 20GB RAM, 1TB PCIe SSD, Wi-Fi 6 and Bluetooth 5.1, HDMI, SD Card Reader, 15.6"" HD Anti-Glare Display, AMD Athlon Dual-core Processor, Windows 11 Home in S Mode",$429.00,4.3 out of 5 stars,Lenovo,,15.6 Inches,1 TB,Athlon,20 GB,Windows 11,Anti-glare,,AMD Radeon Graphics,IdeaPad,Integrated,,,,
"HP 2022 Newest Pavilion 15.6"" HD Laptop, Intel Quad-core Pentium Processor, 16GB RAM, 1TB SSD, 11 Hr Battry Life, Intel UHD Graphics, HD Webcam, Bluetooth, HDMI, USB Type-C, Scarlet Red, Win 11",$469.00,4.3 out of 5 stars,HP,Pavilion,15.6 Inches,1 TB,Pentium N5000,16 GB,Windows 11,Anti Glare Coating,Integrated,Intel UHD Graphics,,,,,,
"Lenovo IdeaPad 1i Multitasking Laptop, 14"" HD Display, 4GB RAM, 256GB Storage, Intel Pentium N5030 Processor Upto 3.1GHz,1 Year Office365,10Hrs Battery Life and Rapid Charge, Type-C, HDMI, Win11",$209.99,4.4 out of 5 stars,Lenovo,,14 Inches,256 GB,Pentium,4 GB,Windows 11 S,,Integrated,Intel UHD Graphics,,,,3.1 GHz,SSD,
"2022 HP Pavilion 17 Laptop, 17.3"" HD+ Touch Display, AMD Ryzen3 3250U Processor, 16 GB RAM, 256 GB SSD, WiFi, Webcam, Long Battery Life, Windows 10 + One Year of Office365, Silver (Latest Model)",$599.99,4.3 out of 5 stars,HP,,17.3 Inches,256 GB,Ryzen 3 3250U,16 GB,Windows 10,,,AMD Radeon™ Graphics,Pavilion 17,Integrated,Silver,,,
"Lenovo 14"" IdeaPad 1 Laptop, Intel Dual-core Processor, 14"" HD Display, 4GB RAM, Wi-Fi 6 and Bluetooth, HDMI, SD Card Reader, Windows 11 Home in S Mode (256GB SSD Storage)",$199.00,4.0 out of 5 stars,Lenovo,IdeaPad 1,14 Inches,320 GB,Celeron N4020,4 GB,Windows 11,,Integrated,Intel UHD Graphics 600,,,,2.8 GHz,,
"HP Laptop 14-DQ3025CL 14"" Intel Pentium Silver N6000, Intel UHD Graphics, 4GB DDR4 RAM, 128GB SSD Storage, Windows 11 Home in S Mode, Natural Silver (Renewed)",$161.00,4.8 out of 5 stars,HP,,14 Inches,128 GB,Pentium,4 GB,Windows 11 Home,,,,14-DQ3025CL,Integrated,Natural silver,3.3 GHz,,
"HP Chromebook Laptop 14a-na1043cl 14"" Diagonal FHD IPS Display 1920 x 1080 Intel Celeron N4500 4 GB Memory 64 GB eMMC Storage Chrome OS Mineral Silver (Renewed)",$124.00,4.4 out of 5 stars,HP,,14 Inches,64 GB,Pentium D,4 GB,Chrome OS,,,Intel,Chromebook,Integrated,Mineral Silver,,,
"Acer Chromebook Spin 311 Convertible Laptop, Intel Celeron N4020, 11.6"" HD Touch, 4GB LPDDR4, 32GB eMMC, Gigabit Wi-Fi 5, Bluetooth 5.0, Google Chrome, CP311-2H-C679",$228.00,4.6 out of 5 stars,Acer,Chromebook Spin 311,11.6 Inches,32 GB,Celeron,4 GB,Chrome OS,,Integrated,Mediatek,,,Grey,,,
